2015-05-31,53
2015-06-07,53
2015-06-14,55
2015-06-21,55
2015-06-28,56
2015-07-05,59
2015-07-12,78
2015-07-19,59
2015-07-26,59
2015-08-02,59
2015-08-09,60
2015-08-16,62
2015-08-23,63
2015-08-30,59
2015-09-06,57
2015-09-13,55
2015-09-20,57
2015-09-27,58
2015-10-04,57
2015-10-11,58
2015-10-18,58
2015-10-25,58
2015-11-01,59
2015-11-08,62
2015-11-15,65
2015-11-22,88
2015-11-29,92
2015-12-06,85
2015-12-13,87
2015-12-20,82
2015-12-27,72
2016-01-03,55
2016-01-10,51
2016-01-17,53
2016-01-24,50
2016-01-31,50
2016-02-07,50
2016-02-14,50
2016-02-21,48
2016-02-28,49
2016-03-06,49
2016-03-13,48
2016-03-20,49
2016-03-27,49
2016-04-03,49
2016-04-10,49
2016-04-17,47
2016-04-24,48
2016-05-01,50
2016-05-08,49
2016-05-15,50
2016-05-22,49
2016-05-29,51
2016-06-05,52
2016-06-12,51
2016-06-19,52
2016-06-26,52
2016-07-03,53
2016-07-10,64
2016-07-17,53
2016-07-24,54
2016-07-31,54
2016-08-07,52
2016-08-14,53
2016-08-21,56
2016-08-28,54
2016-09-04,53
2016-09-11,53
2016-09-18,51
2016-09-25,51
2016-10-02,50
2016-10-09,51
2016-10-16,53
2016-10-23,53
2016-10-30,52
2016-11-06,50
2016-11-13,60
2016-11-20,80
2016-11-27,85
2016-12-04,76
2016-12-11,83
2016-12-18,77
2016-12-25,73
2017-01-01,63
2017-01-08,61
2017-01-15,58
2017-01-22,55
2017-01-29,56
2017-02-05,53
2017-02-12,51
2017-02-19,54
2017-02-26,56
2017-03-05,54
2017-03-12,55
2017-03-19,53
2017-03-26,54
2017-04-02,55
2017-04-09,54
2017-04-16,55
2017-04-23,57
2017-04-30,59
2017-05-07,58
2017-05-14,57
2017-05-21,57
2017-05-28,58
2017-06-04,59
2017-06-11,61
2017-06-18,61
2017-06-25,61
2017-07-02,61
2017-07-09,78
2017-07-16,62
2017-07-23,63
2017-07-30,67
2017-08-06,65
2017-08-13,65
2017-08-20,63
2017-08-27,63
2017-09-03,61
2017-09-10,60
2017-09-17,61
2017-09-24,62
2017-10-01,60
2017-10-08,62
2017-10-15,64
2017-10-22,65
2017-10-29,61
2017-11-05,65
2017-11-12,71
2017-11-19,91
2017-11-26,95
2017-12-03,86
2017-12-10,91
2017-12-17,91
2017-12-24,83
2017-12-31,72
2018-01-07,67
2018-01-14,67
2018-01-21,64
2018-01-28,64
2018-02-04,63
2018-02-11,59
2018-02-18,61
2018-02-25,63
2018-03-04,62
2018-03-11,62
2018-03-18,61
2018-03-25,62
2018-04-01,61
2018-04-08,59
2018-04-15,58
2018-04-22,60
2018-04-29,58
2018-05-06,61
2018-05-13,58
2018-05-20,59
2018-05-27,60
2018-06-03,61
2018-06-10,62
2018-06-17,59
2018-06-24,61
2018-07-01,62
2018-07-08,64
2018-07-15,90
2018-07-22,64
2018-07-29,63
2018-08-05,65
2018-08-12,65
2018-08-19,63
2018-08-26,63
2018-09-02,62
2018-09-09,59
2018-09-16,60
2018-09-23,59
2018-09-30,62
2018-10-07,61
2018-10-14,61
2018-10-21,61
2018-10-28,60
2018-11-04,63
2018-11-11,72
2018-11-18,87
2018-11-25,89
2018-12-02,82
2018-12-09,89
2018-12-16,88
2018-12-23,77
2018-12-30,69
2019-01-06,65
2019-01-13,63
2019-01-20,61
2019-01-27,61
2019-02-03,60
2019-02-10,61
2019-02-17,62
2019-02-24,61
2019-03-03,62
2019-03-10,60
2019-03-17,59
2019-03-24,60
2019-03-31,60
2019-04-07,60
2019-04-14,61
2019-04-21,60
2019-04-28,61
2019-05-05,63
2019-05-12,63
2019-05-19,63
2019-05-26,65
2019-06-02,67
2019-06-09,68
2019-06-16,66
2019-06-23,67
2019-06-30,65
2019-07-07,70
2019-07-14,92
2019-07-21,68
2019-07-28,67
2019-08-04,67
2019-08-11,70
2019-08-18,74
2019-08-25,70
2019-09-01,64
2019-09-08,65
2019-09-15,67
2019-09-22,65
2019-09-29,67
2019-10-06,67
2019-10-13,67
2019-10-20,70
2019-10-27,69
2019-11-03,74
2019-11-10,75
2019-11-17,80
2019-11-24,93
2019-12-01,100
2019-12-08,96
2019-12-15,98
2019-12-22,85
2019-12-29,75
2020-01-05,69
2020-01-12,67
2020-01-19,68
2020-01-26,68
2020-02-02,67
2020-02-09,67
2020-02-16,66
2020-02-23,70
2020-03-01,72
2020-03-08,75
2020-03-15,87
2020-03-22,83
2020-03-29,88
2020-04-05,88
2020-04-12,90
2020-04-19,90
2020-04-26,91
2020-05-03,90
2020-05-10,89
2020-05-17,89
2020-05-24,85
